SeasonalNaive_90,SeasonalNaive_prob_90,AutoMLP_90,AutoMLP_prob_90,AutoNHITS_90,AutoNHITS_prob_90,AutoLSTM_90,AutoLSTM_prob_90,AutoGRU_90,AutoGRU_prob_90,AutoDeepAR_90,AutoDeepAR_prob_90,SeasonalNaive_95,SeasonalNaive_prob_95,AutoMLP_95,AutoMLP_prob_95,AutoNHITS_95,AutoNHITS_prob_95,AutoLSTM_95,AutoLSTM_prob_95,AutoGRU_95,AutoGRU_prob_95,AutoDeepAR_95,AutoDeepAR_prob_95,SeasonalNaive_99,SeasonalNaive_prob_99,AutoMLP_99,AutoMLP_prob_99,AutoNHITS_99,AutoNHITS_prob_99,AutoLSTM_99,AutoLSTM_prob_99,AutoGRU_99,AutoGRU_prob_99,AutoDeepAR_99,AutoDeepAR_prob_99
0,0.18747902331538113,0,0.14758471463747236,0,0.17763047450923664,0,0.23441616117353237,0,0.2724514874712879,0,0.4493108725963082,0,0.11432141205716295,0,0.05694331133904407,0,0.08009988886021957,0,0.13623131142217304,0,0.16101674364467933,0,0.25554115997756033,0,0.06031414148913683,0,0.01683798718043028,0,0.02324009208500477,0,0.07393380444879327,0,0.10858976285497812,0,0.07561794056920024
0,0.41771219304631846,0,0.21858613156030615,0,0.12761825632975987,0,0.24177042224616752,0,0.28251239270874506,0,0.4282707236387878,0,0.3000045210115917,0,0.10220380761245162,0,0.06186651154655354,0,0.160713805169874,0,0.1725307151772888,0,0.25386070427748786,0,0.19142226056858447,0,0.05102456185044646,0,0.021637145633218502,0,0.08275029256442179,0,0.1592965908110412,0,0.0745403056935311
0,0.009498759438352544,0,0.14826104266269047,0,0.03533944508978493,0,0.16769729025360913,0,0.22720762740156286,0,0.3459175252785609,0,0.0038813836133878565,0,0.07250629883952908,0,0.016130035929743602,0,0.08964909866558834,0,0.14486689299229127,0,0.2100244771488058,0,0.0013041019905971618,0,0.02967814263053803,0,0.0028537884216632836,0,0.04340507751179623,0,0.08134205566383279,0,0.055448851087044004
0,0.3036558600677107,0,0.12295846136649735,0,0.0881521494123223,0,0.17231638521465042,0,0.17990548767671888,0,0.42165419858194897,0,0.20311328430965236,0,0.055638155493080155,0,0.03612403403049769,0,0.07357027476397615,0,0.10188430420481087,0,0.25822895090687636,0,0.11923254485769785,0,0.01637023924076031,0,0.010149382617095304,0,0.036689390276334555,0,0.04264325304065597,0,0.12617193749415856
0,0.10373119279919196,0,0.055216401130839365,0,0.0735654244502495,0,0.17356557599034272,0,0.17988478068307612,0,0.2582049342253767,0,0.05737341072333246,0,0.024155734236775195,0,0.023650528647184865,0,0.0863812122845744,0,0.09498898717794346,0,0.1390258398911841,0,0.027083962198887535,0,0.006014017710882613,0,0.006444587234450849,0,0.025581326381577285,0,0.041550186330341465,0,0.030832355353293095
0,0.07588641260321038,0,0.07896324001828858,0,0.12987871127124517,0,0.13530041946393223,0,0.15298681666188263,0,0.278682536265653,0,0.040064741592124475,0,0.029773517340058175,0,0.05969430474921045,0,0.059032316957641884,0,0.06394701777793632,0,0.12239325940610324,0,0.017943085033953476,0,0.007463738427782807,0,0.018043899653913287,0,0.021128349797324364,0,0.030556598583754258,0,0.07441810795985204
0,0.08029563664996586,0,0.08703057451890128,0,0.15407130527042878,0,0.1575030838764454,0,0.24403607533296412,0,0.3602416735011944,0,0.04274135926029021,0,0.039085903408359934,0,0.0655200022263367,0,0.0762593983867883,0,0.14091596835586828,0,0.18586938288076427,0,0.019319867815535074,0,0.012615355247123872,0,0.015374171153538674,0,0.03915536181728552,0,0.05692833951819476,0,0.15560727899864624
0,0.49496655036127923,0,0.13697928376024648,0,0.2510330374951424,0,0.22014033393183208,0,0.23556058519764034,0,0.34015762935081617,0,0.3709814578072824,0,0.055088366756034235,0,0.11760327934856019,0,0.1084806481051579,0,0.11984141959133843,0,0.20863004463477886,0,0.24903335741232646,0,0.01662324188255948,0,0.04990232959482932,0,0.05713095282149949,0,0.048989970710558994,0,0.04745614811261323
1,0.7701392006649976,0,0.1288159131704223,0,0.25096801933935264,0,0.25637732244900757,0,0.30563921843643005,0,0.3406567863108916,1,0.6637310959787477,0,0.05874336190614304,0,0.12278740176172587,0,0.13921786902308975,0,0.18630444349651232,0,0.19448771293213385,1,0.5296490797215339,0,0.02102025241923,0,0.04871893152902984,0,0.07149247167224604,0,0.10218222188168813,0,0.0728204154549994
0,0.3785493252453769,0,0.13249625086402772,0,0.18107333859009178,0,0.39490161907494514,0,0.3914308005883078,0,0.24413887214298335,0,0.2656801713126372,0,0.057085568014966115,0,0.07625360783378121,0,0.25321577414548013,0,0.2898153272768744,0,0.17190078790022612,0,0.16497603363104796,0,0.015393265068405104,0,0.022247094932325906,0,0.12269685007539533,0,0.16208189819816665,0,0.10983726361968216
