unique_id,ds,SeasonalNaive,SeasonalNaive-lo-80,SeasonalNaive-lo-90,SeasonalNaive-lo-98,SeasonalNaive-hi-80,SeasonalNaive-hi-90,SeasonalNaive-hi-98,AutoMLP,AutoMLP-median,AutoMLP-lo-98,AutoMLP-lo-90,AutoMLP-lo-80,AutoMLP-hi-80,AutoMLP-hi-90,AutoMLP-hi-98,AutoMLP-loc,AutoMLP-scale,AutoNHITS,AutoNHITS-median,AutoNHITS-lo-98,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90,AutoNHITS-hi-98,AutoNHITS-loc,AutoNHITS-scale,AutoLSTM,AutoLSTM-median,AutoLSTM-lo-98,AutoLSTM-lo-90,AutoLSTM-lo-80,AutoLSTM-hi-80,AutoLSTM-hi-90,AutoLSTM-hi-98,AutoLSTM-loc,AutoLSTM-scale,AutoGRU,AutoGRU-median,AutoGRU-lo-98,AutoGRU-lo-90,AutoGRU-lo-80,AutoGRU-hi-80,AutoGRU-hi-90,AutoGRU-hi-98,AutoGRU-loc,AutoGRU-scale,AutoDeepAR,AutoDeepAR-median,AutoDeepAR-lo-98,AutoDeepAR-lo-90,AutoDeepAR-lo-80,AutoDeepAR-hi-80,AutoDeepAR-hi-90,AutoDeepAR-hi-98,y_true
ID0,1978-06-30,1083180.0,532158.3,375951.34,82933.016,1634201.6,1790408.6,2083427.0,1154294.4,1157093.9,510361.88,673777.9,778137.94,1533856.0,1619158.8,1806954.8,1163859.9,1336441.0,1227861.2,1216952.5,678679.6,819746.94,899139.2,1556204.2,1662389.0,1833800.9,1238583.5,1292384.5,1176458.5,1162184.9,297497.5,479486.7,668022.0,1685929.2,1824648.1,2089117.2,1181656.4,1446076.9,1219342.2,1222007.4,257717.25,537400.0,674472.9,1747792.2,1864944.8,2208525.2,1238188.2,1441195.2,1469555.6,1508175.2,882025.5,1066228.9,1107848.0,1756934.5,1830160.5,1956312.8,1290270.0
ID0,1978-07-31,1375330.0,824308.3,668101.3,375083.0,1926351.6,2082558.6,2375577.0,1211037.1,1221271.2,509970.97,696770.94,799972.75,1627578.0,1717374.2,1967055.4,1209065.6,1360083.6,1129677.5,1137845.6,448862.44,633503.4,742963.5,1507560.6,1632866.0,1841956.2,1135970.2,1323332.6,1183372.8,1170552.5,246243.44,507042.78,656286.0,1701571.0,1871842.9,2131180.0,1182202.2,1439277.5,1229090.0,1226100.9,223548.0,520576.28,680617.44,1762808.0,1893123.0,2361122.0,1227664.0,1452977.2,1418418.0,1450949.2,726973.4,956430.1,1098723.6,1740110.9,1875180.9,1990492.0,1926500.0
ID0,1978-08-31,456139.0,-94882.67,-251089.66,-544108.0,1007160.7,1163367.6,1456386.0,1139694.1,1125804.2,377902.2,608751.6,730730.4,1539651.9,1660750.5,1894202.2,1152275.1,1365361.8,866389.5,848013.25,71984.94,315983.5,458087.0,1293265.1,1432368.5,1606191.0,850997.44,1358714.4,1134527.6,1129916.4,404210.7,592108.56,707663.4,1571971.5,1702732.9,1955181.5,1137710.9,1378336.2,1162692.4,1143918.8,342431.88,551255.9,657331.9,1676855.9,1828345.0,2102436.2,1175203.9,1414170.4,1376782.6,1367186.0,686653.75,828883.5,904502.75,1760163.4,1864859.0,1949233.1,843637.0
ID0,1978-09-30,1243690.0,692668.3,536461.3,243443.02,1794711.6,1950918.6,2243937.0,1071755.5,1075579.4,283610.88,485555.56,617593.0,1506707.6,1618839.5,1813376.8,1083730.0,1367493.4,979792.4,981605.9,166775.06,410665.44,528333.56,1439531.2,1548006.1,1752443.8,992007.8,1373050.0,1159846.2,1155340.8,424614.38,643990.75,766827.7,1570115.8,1661135.8,1923140.6,1159918.6,1352934.8,1150831.5,1160656.2,331796.25,568654.4,677855.2,1595649.9,1733178.2,1962822.6,1164381.1,1384656.1,1392656.1,1375006.2,516987.06,773535.3,904185.5,1875336.5,1960041.5,2170498.0,1330520.0
ID0,1978-10-31,922653.0,371631.34,215424.34,-77593.984,1473674.6,1629881.6,1922900.0,946340.3,942765.25,175002.62,439024.2,550307.06,1364667.4,1494950.5,1690303.5,958144.4,1359929.0,1009725.2,1010496.1,281567.3,517392.0,618394.9,1412543.5,1499654.5,1701570.8,1020644.94,1341434.5,1155791.2,1137256.9,460527.62,628585.0,754883.1,1573716.5,1691765.4,1864039.2,1152918.6,1356711.4,1173546.5,1169974.0,436953.56,672710.75,774751.5,1579488.6,1705746.6,1942561.2,1168718.9,1364300.2,1304131.5,1329112.8,377527.94,687166.06,771278.75,1691894.8,1788289.1,1900332.1,1394260.0
ID0,1978-11-30,848388.0,297366.34,141159.34,-151858.98,1399409.6,1555616.6,1848635.0,1007431.25,1003522.5,298601.3,501263.12,612753.6,1423373.5,1526245.2,1717671.2,1018657.5,1359798.6,1125078.4,1121583.2,376496.5,631680.1,728248.4,1511920.1,1627281.8,1822137.0,1126143.1,1331363.1,1100492.9,1111607.8,319161.88,536802.2,648877.25,1526224.9,1627965.0,1847573.2,1090655.2,1358874.8,1159377.2,1161459.0,462202.8,658511.06,769476.25,1542411.1,1637210.8,1889741.5,1163352.9,1344031.1,1268771.2,1270073.9,625523.9,734229.4,861726.25,1688873.5,1749470.9,2013954.1,950071.0
ID0,1978-12-31,861378.0,310356.34,154149.34,-138868.98,1412399.6,1568606.6,1861625.0,1012769.06,1016872.6,144525.75,443779.94,590413.9,1438926.5,1561212.2,1781685.2,1015960.5,1359751.2,1163542.5,1148734.9,460347.7,734521.25,830034.94,1537042.2,1637823.0,1798291.0,1168770.9,1312914.4,1122506.2,1127016.5,355491.38,562173.6,672313.6,1560574.5,1673121.6,1943671.0,1129167.2,1370552.0,1208942.0,1190811.1,375996.7,663835.0,792768.0,1664756.2,1796601.8,2012709.5,1190350.5,1375858.5,1349332.1,1318503.5,720892.56,813663.3,915560.56,1774055.2,1833902.2,2155642.0,675046.0
ID0,1979-01-31,1459230.0,908208.3,752001.3,458983.0,2010251.6,2166458.8,2459477.0,1124907.1,1125588.6,419968.12,621447.25,723610.75,1523163.8,1615132.0,1809454.0,1123675.5,1336566.6,1291434.5,1289633.6,689631.5,855959.8,954193.2,1624190.2,1721207.0,1932311.9,1283105.8,1301412.1,1193509.2,1191336.8,459645.7,664836.9,752052.8,1641595.9,1734132.1,1997452.0,1180310.5,1371101.0,1222900.0,1215316.0,548293.9,715304.9,810487.6,1647912.5,1748056.2,1953370.0,1222032.2,1350064.6,1316682.8,1310751.8,661607.25,801743.75,879862.25,1764898.8,1872026.5,1929378.5,2196870.0
ID0,1979-02-28,1782530.0,1231508.4,1075301.4,782283.0,2333551.8,2489758.8,2782777.0,1145161.5,1131302.9,442052.75,678900.5,787579.0,1506607.0,1623611.9,1838558.5,1159796.1,1324159.5,1267153.2,1267908.6,623857.75,772405.5,890146.1,1644128.1,1743592.5,1939737.2,1266256.5,1322069.5,1238714.6,1232823.8,484022.38,679278.25,807727.6,1677397.2,1790260.5,2038380.8,1250127.4,1378967.5,1286279.5,1286813.1,335720.06,671436.3,834881.4,1736755.2,1876793.0,2166519.5,1301894.8,1382724.5,1290979.0,1323268.6,499001.06,681579.4,795020.7,1809273.5,1888108.2,2038901.5,1330660.0
ID0,1979-03-31,1331670.0,780648.3,624441.3,331423.0,1882691.6,2038898.6,2331917.0,1154627.5,1154529.0,521982.66,673873.56,780413.75,1512308.5,1619521.2,1796150.2,1152747.0,1320632.2,1228631.2,1231907.2,625827.44,797189.2,895115.75,1560824.1,1656745.2,1832762.6,1239685.2,1293239.0,1353319.6,1353662.8,486178.06,791942.4,914539.5,1825324.8,1944216.5,2172757.5,1362029.6,1377992.2,1356358.0,1347608.0,479189.25,714946.0,849427.2,1862110.0,2040315.8,2265036.5,1353136.2,1431065.5,1210736.0,1232925.4,419778.25,548088.1,685262.9,1696941.2,1884403.6,2162070.5,894202.0
ID0,1979-04-30,1672240.0,1121218.4,965011.3,671993.0,2223261.8,2379468.8,2672487.0,1035396.7,1039280.7,365294.5,550891.56,650896.1,1402763.5,1517872.1,1717501.2,1039732.94,1324915.2,1216422.4,1214827.0,474384.5,680920.5,799280.56,1662998.0,1748520.0,2000479.0,1216723.0,1367943.5,1365763.0,1354019.5,466117.94,683056.9,842758.2,1879276.0,2047506.4,2323409.0,1352758.2,1432763.6,1365531.8,1367873.0,532625.9,748249.44,876792.94,1852486.8,2004745.0,2210203.8,1340779.5,1416309.0,1154212.5,1187126.6,208048.75,439473.38,564306.94,1680844.0,1802723.5,2169327.5,1972540.0
ID0,1979-05-31,1266130.0,715108.3,558901.3,265883.0,1817151.6,1973358.6,2266377.0,975661.44,973171.94,232745.44,475162.88,580961.5,1356219.2,1457080.5,1639629.1,972091.75,1330479.8,1270495.6,1272898.9,652736.06,784861.5,904726.9,1658688.0,1748019.2,1914996.4,1256991.5,1314857.0,1170033.1,1154623.6,185223.94,507236.84,668974.6,1688399.6,1828008.0,2133249.8,1168719.0,1436865.8,1201657.5,1194179.4,453804.44,654394.9,766416.25,1630371.0,1776154.5,2087691.9,1202278.5,1370164.0,1086660.8,1049773.4,289676.7,421469.88,585561.6,1604880.1,1719895.5,2091100.1,1656590.0
ID1,1983-08-31,98.54,52.4818,39.42494,14.932441,144.5982,157.65506,182.14757,111.197975,111.04551,77.30842,87.19072,92.44977,130.28262,136.50201,148.44244,111.17555,118.75864,106.06372,105.854355,80.12678,88.59833,92.46253,119.73724,124.63454,131.2616,105.77492,114.82265,106.27777,106.0639,83.94962,91.482765,94.461975,118.23553,121.68739,127.998405,106.02808,113.17484,107.6051,107.57072,89.07466,93.591255,96.9172,118.745636,121.64328,126.6402,107.32138,112.55141,104.44075,104.21147,95.55886,98.00981,99.56663,109.87552,110.46804,111.43041,115.2300033569336
ID1,1983-09-30,101.0,54.9418,41.884937,17.39244,147.0582,160.11507,184.60756,108.40954,108.44119,60.55534,75.274864,82.14916,134.88219,140.3774,157.05933,108.904366,124.52416,105.92973,106.091324,86.110725,90.97988,93.99397,117.46866,120.81714,126.175026,105.99737,113.101326,105.09071,104.92147,82.36933,88.727196,92.2359,118.128876,121.78487,128.38348,105.060844,113.51051,107.60199,107.56406,86.24511,91.96201,95.88575,119.39621,123.84275,129.63054,107.54839,113.16908,105.5319,105.32989,96.471375,98.33393,99.99173,110.69732,111.93189,113.94983,120.72000122070312
