SeasonalNaive_90,SeasonalNaive_prob_90,AutoMLP_90,AutoMLP_prob_90,AutoNHITS_90,AutoNHITS_prob_90,AutoLSTM_90,AutoLSTM_prob_90,AutoGRU_90,AutoGRU_prob_90,SeasonalNaive_95,SeasonalNaive_prob_95,AutoMLP_95,AutoMLP_prob_95,AutoNHITS_95,AutoNHITS_prob_95,AutoLSTM_95,AutoLSTM_prob_95,AutoGRU_95,AutoGRU_prob_95,SeasonalNaive_99,SeasonalNaive_prob_99,AutoMLP_99,AutoMLP_prob_99,AutoNHITS_99,AutoNHITS_prob_99,AutoLSTM_99,AutoLSTM_prob_99,AutoGRU_99,AutoGRU_prob_99
0,0.14682773896600798,0,0.09623863620032913,0,0.3217146784427608,0,0.31134252423934017,0,0.12874229832049355,0,0.09812247292041398,0,0.03206156357532375,0,0.16271939307844774,0,0.2285749409860005,0,0.08443634746274786,0,0.06892425410272873,0,0.015192980280741009,0,0.06711073004927337,0,0.2595705797933827,0,0.23692097816732538
1,0.5785545815408976,0,0.1249437223636286,0,0.2703876313686915,0,0.22442503425757965,0,0.11136873794687707,0,0.4824559423904623,0,0.060776626354302254,0,0.13095048600264514,0,0.17344207460590066,0,0.07298720458669361,0,0.4069036072484007,0,0.06639338578404186,0,0.05458037285552819,0,0.21273982779750678,0,0.2023386121083547
0,0.12889544822451615,0,0.1783149096367831,0,0.2253787195344532,0,0.180618780442238,0,0.10876385522981658,0,0.0847494473654955,0,0.09583186897836093,0,0.11031184316695342,0,0.13515656764416484,0,0.07207111282685452,0,0.05875131401239497,0,0.06570681067371831,0,0.02332432266064055,0,0.17139683519351312,0,0.20359371399099213
0,0.34516193628336267,0,0.2408201452964751,0,0.1999529995683924,0,0.16145962249892076,0,0.08726823744477952,0,0.2608902089466574,0,0.11284264448219983,0,0.07616334582712914,0,0.12453014506811555,0,0.05349039710273251,0,0.20266775807549275,0,0.06333447073207377,0,0.02925833536817335,0,0.15937027472206677,0,0.15852949789707993
1,0.5836251159324921,0,0.2728205856099325,0,0.2436046087051501,0,0.12504739224473904,0,0.056004526912577735,0,0.48763017550795373,0,0.13206816496210805,0,0.10195014719977835,0,0.09298685559911402,0,0.032971067300126,0,0.4119474477719448,0,0.06401662449228895,0,0.03867043338075249,0,0.11983591404447735,0,0.1114488715205969
1,0.5866939759051037,0,0.2409824495786147,0,0.2763046038798874,0,0.1127630462710203,0,0.06313765240059066,0,0.49076971536301806,0,0.11438223397511238,0,0.12112549955854868,0,0.08204349248842902,0,0.03335257551215731,0,0.4150139865650996,0,0.059987644823460085,0,0.04117280042487048,0,0.11068403124201653,0,0.11398034837683291
1,0.5510027247643638,0,0.24296949154965153,0,0.2771508606591577,0,0.10283966040260073,0,0.01931238643273181,0,0.45462182607486523,0,0.10815070228907686,0,0.11179974383228153,0,0.07513996031387149,0,0.009458932550651666,0,0.3799853195716312,0,0.06002626496401964,0,0.029827459961462743,0,0.10254245137558571,0,0.03909230434910327
1,0.6317526706906903,0,0.25422053979095904,0,0.23563270904923206,0,0.0684021035209681,0,0.012818858518909182,1,0.537569022398146,0,0.11388432089077527,0,0.0777174407731257,0,0.045750825583310006,0,0.004157040323029326,0,0.46127761518657673,0,0.03554317735523671,0,0.02073870026034008,0,0.06853881521483496,0,0.025295560165089048
1,0.6614005219303473,0,0.2081713439931705,0,0.1528409650202731,0,0.04916708785362567,0,3.203803378015735e-05,1,0.56910684034011,0,0.08702347264864363,0,0.0460673810203277,0,0.03248108898826807,0,5.924205063401189e-06,0,0.4930483722882537,0,0.0380471812011689,0,0.011739960735477561,0,0.05029758781483473,0,0.00011328735845128612
0,0.4913849690782308,0,0.22220002774323233,0,0.10966334793123433,0,0.04123242641686342,0,1.2872422761045499e-06,0,0.3959731393577941,0,0.09661433434088718,0,0.034480166748899865,0,0.027095146189230257,0,3.7094022176109576e-07,0,0.32444281191569313,0,0.02501501981017562,0,0.008317456653160527,0,0.05157842366273824,0,8.891315328773963e-06
