AutoMLP_90,AutoMLP_prob_90,AutoNHITS_90,AutoNHITS_prob_90,AutoLSTM_90,AutoLSTM_prob_90,AutoGRU_90,AutoGRU_prob_90,AutoMLP_95,AutoMLP_prob_95,AutoNHITS_95,AutoNHITS_prob_95,AutoLSTM_95,AutoLSTM_prob_95,AutoGRU_95,AutoGRU_prob_95,AutoMLP_99,AutoMLP_prob_99,AutoNHITS_99,AutoNHITS_prob_99,AutoLSTM_99,AutoLSTM_prob_99,AutoGRU_99,AutoGRU_prob_99
0,0.3999228086607691,0,0.44033019301944765,0,0.11792736410494853,0,0.4341474309531874,0,0.32561109705618363,0,0.3734053052158617,0,0.0820473454785976,0,0.4052341292632776,0,0.2712433841304498,0,0.3229611057410924,0,0.06004981708733104,0,0.38272167657718603
0,0.44437576017586444,0,0.4032638669836436,0,0.11500361808784965,0,0.4114511281314348,0,0.3796060678998425,0,0.3390055303856354,0,0.07955101851857205,0,0.3828347761422982,0,0.33058771899194195,0,0.2912172402193426,0,0.05792926072459015,0,0.3606406813016544
0,0.3621881809440153,0,0.37681191978817086,0,0.11165411031738692,0,0.4330287310939428,0,0.3029073999190265,0,0.31179485768390647,0,0.07657632090107236,0,0.4067471811268585,0,0.2593635470875425,0,0.26412859296768887,0,0.055343393299222554,0,0.3862506143892874
0,0.32005781209476036,0,0.384655394313012,0,0.10921894858283909,0,0.4279932369332393,0,0.2603582924628658,0,0.3188041506794108,0,0.07471200003399936,0,0.4059197679864449,0,0.2175775773181421,0,0.27039179788120327,0,0.05388100291715503,0,0.3886694200493488
0,0.366305278754707,0,0.39865181955093343,0,0.10458257519937986,0,0.4102606850185987,0,0.3003178450853674,0,0.3323694796575811,0,0.07087758194049687,0,0.38403527561195705,0,0.2522958504431112,0,0.28332504186255836,0,0.05070413138773755,0,0.36365905191234293
0,0.39104837947370397,0,0.40368595958346054,0,0.10495551107401035,0,0.3945915301398647,0,0.32031821768670665,0,0.3368829390218422,0,0.07103425753592085,0,0.3674151611557134,0,0.2685382289824445,0,0.287367206002934,0,0.05075040042473811,0,0.34637688911327424
0,0.32895077036538645,0,0.3979677766704617,0,0.10434074381369762,0,0.4087648396839364,0,0.26475242987937775,0,0.33148904307898164,0,0.07051277814774548,0,0.3862076690548113,0,0.21892920236283375,0,0.2823299281651366,0,0.05031184024471724,0,0.3686334696983642
0,0.24854820169353864,0,0.3873608383303935,0,0.10983450825595231,0,0.44660886579027304,0,0.1913060328820796,0,0.3231288293549208,0,0.07524202233747068,0,0.4287563364040248,0,0.15231978561438297,0,0.2757240428557586,0,0.05433232455178749,0,0.4147388762984312
0,0.22530936103763588,0,0.3501944207983996,0,0.10026924260840697,0,0.4122202127848682,0,0.17153235044612547,0,0.2854088216358972,0,0.06723183483830486,0,0.38849454492365276,0,0.13537367612468065,0,0.23859850385449166,0,0.0476471132648606,0,0.37001744441309503
0,0.22084686571727974,0,0.3353484775875061,0,0.09797206097263,0,0.35822717265469106,0,0.17021985883145274,0,0.2729698026320818,0,0.06535160180187682,0,0.3266307146433033,0,0.13593281841930804,0,0.22809155234245626,0,0.04610582700046595,0,0.302482557817943
