SeasonalNaive_90,SeasonalNaive_prob_90,AutoMLP_90,AutoMLP_prob_90,AutoNHITS_90,AutoNHITS_prob_90,AutoLSTM_90,AutoLSTM_prob_90,AutoGRU_90,AutoGRU_prob_90,SeasonalNaive_95,SeasonalNaive_prob_95,AutoMLP_95,AutoMLP_prob_95,AutoNHITS_95,AutoNHITS_prob_95,AutoLSTM_95,AutoLSTM_prob_95,AutoGRU_95,AutoGRU_prob_95,SeasonalNaive_99,SeasonalNaive_prob_99,AutoMLP_99,AutoMLP_prob_99,AutoNHITS_99,AutoNHITS_prob_99,AutoLSTM_99,AutoLSTM_prob_99,AutoGRU_99,AutoGRU_prob_99
0,6.661338147750939e-16,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,6.661338147750939e-16
0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0,2.3294222106784446e-10,0,4.831492717016772e-07,0,0.0,0,9.590405440906835e-07,0,4.366902617292112e-09,0,3.11972669919669e-14,0,3.552713678800501e-15,0,0.0,0,2.953836579777658e-07,0,2.4139978904713644e-10,0,0.0,0,1.1536128308176075e-07,0,1.004093475032164e-10,0,9.955129953720387e-08,0,3.095898604144054e-08
1,0.9281625222777559,1,0.8032638629766361,1,0.6645301094652553,1,0.9309392161147965,1,0.7912737483358363,1,0.5750577075779586,1,0.525726007425251,0,0.32561662667931035,1,0.7047033244091201,1,0.5104661899993463,0,0.26904685979844545,0,0.34172103882441396,0,0.12399545862940664,0,0.4512491439732317,0,0.31813302294316137
0,6.661338147750939e-16,0,0.0,0,0.0,0,0.0,0,5.3290705182007514e-14,0,0.0,0,0.0,0,0.0,0,0.0,0,2.886579864025407e-15,0,0.0,0,0.0,0,0.0,0,0.0,0,1.18788645586676e-10
0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.55351295663786e-15,0,0.0,0,0.0,0,0.0
0,2.3294222106784446e-10,0,4.712942737294945e-06,0,1.490043644025718e-10,0,2.673785701889919e-05,0,1.3980350244691131e-05,0,3.11972669919669e-14,0,4.656475205422339e-10,0,1.3257173137048994e-10,0,4.729783396939524e-06,0,2.2660145574393553e-06,0,0.0,0,2.6866544341475063e-06,0,1.7263968032921184e-13,0,1.8406356913081012e-05,0,3.0885683786729956e-05
1,0.9281625222777559,1,0.7466654567582114,1,0.53861313355322,1,0.9019977639909041,1,0.7758363929040348,1,0.5750577075779586,1,0.5440469528624343,0,0.25971047022877725,1,0.6871572620927,1,0.5385724839782486,0,0.26904685979844545,0,0.38110046581272516,0,0.10605920033211902,0,0.4844386386802626,0,0.3578614297221918
0,6.661338147750939e-16,0,2.5224267119483557e-13,0,0.0,0,0.0,0,1.081912337497215e-12,0,0.0,0,0.0,0,0.0,0,0.0,0,9.958700530887654e-14,0,0.0,0,1.0487166690609229e-12,0,0.0,0,0.0,0,5.467453378926734e-09
0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,9.71489555467997e-12,0,0.0,0,0.0,0,3.191564790228085e-10
0,2.3294222106784446e-10,0,0.00028405313745583083,0,2.9519569899605358e-08,0,0.0001566245934612187,0,0.005377920327572561,0,3.11972669919669e-14,0,1.9650930538350764e-07,0,7.565170712098279e-12,0,1.843743685381316e-05,0,0.0018229185929056202,0,0.0,0,0.0002675121675475012,0,5.551115123125783e-16,0,1.882770077554774e-05,0,0.006510682933313583
1,0.9281625222777559,1,0.7882229692776297,1,0.5425446229082866,1,0.8276870346661522,1,0.8039061802483809,1,0.5750577075779586,1,0.5635414650735064,0,0.2462443399979929,1,0.609960776991443,1,0.5807651912659169,0,0.26904685979844545,0,0.41216035563982845,0,0.0707983577874467,0,0.467182577361958,0,0.4448883755758022
0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
