SeasonalNaive_90,SeasonalNaive_prob_90,AutoMLP_90,AutoMLP_prob_90,AutoNHITS_90,AutoNHITS_prob_90,AutoLSTM_90,AutoLSTM_prob_90,AutoGRU_90,AutoGRU_prob_90,SeasonalNaive_95,SeasonalNaive_prob_95,AutoMLP_95,AutoMLP_prob_95,AutoNHITS_95,AutoNHITS_prob_95,AutoLSTM_95,AutoLSTM_prob_95,AutoGRU_95,AutoGRU_prob_95,SeasonalNaive_99,SeasonalNaive_prob_99,AutoMLP_99,AutoMLP_prob_99,AutoNHITS_99,AutoNHITS_prob_99,AutoLSTM_99,AutoLSTM_prob_99,AutoGRU_99,AutoGRU_prob_99
0,6.661338147750939e-16,0,0.0,0,4.101816664103808e-10,0,4.711097068010872e-10,0,1.776911950912563e-12,0,0.0,0,0.0,0,5.10702591327572e-14,0,5.532296842858386e-11,0,9.530487510289731e-12,0,0.0,0,0.0,0,5.995204332975845e-15,0,1.0081890700064378e-07,0,3.394121816935325e-08
0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,7.05324687544362e-13,0,1.716289332875931e-10,0,5.265206404203582e-08
0,2.3294133288942476e-10,0,4.4075854077618715e-14,0,1.5904811112577022e-07,0,4.798402499250898e-05,0,8.446204268464097e-05,0,3.11972669919669e-14,0,0.0,0,3.950718197032188e-09,0,1.0517822182865011e-05,0,3.268330730399338e-05,0,0.0,0,8.659739592076221e-15,0,1.2919219916085467e-07,0,0.00014353497379815394,0,0.0010430602210048656
1,0.9281625079686908,1,0.839096230367259,1,0.5813726141605959,1,0.67801656243678,1,0.6238874168904427,1,0.5750578184124725,0,0.38845617168014857,0,0.27886250909528876,0,0.3852676414725861,0,0.408581929032238,0,0.2690467652260412,0,0.31408080528468274,0,0.08190568114894958,0,0.31909270671584844,0,0.39562074911221023
0,6.661338147750939e-16,0,0.0,0,3.219646771412954e-15,0,8.829048603331557e-12,0,3.0242919279999114e-11,0,0.0,0,0.0,0,0.0,0,1.9038104426272184e-12,0,4.3938186422565195e-11,0,0.0,0,0.0,0,4.18554080283684e-14,0,1.203654266257459e-07,0,7.052568227194911e-07
0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3.3861802251067274e-14,0,0.0,0,0.0,0,0.0,0,7.352884967559703e-11,0,1.5536774030766587e-05
0,2.3294133288942476e-10,0,3.0395685968187536e-10,0,8.505649548018468e-07,0,0.0022106745235157543,0,0.0006026373962542131,0,3.11972669919669e-14,0,4.791500529677251e-12,0,7.840839089112706e-12,0,0.0006578334512850059,0,0.0002296074038333762,0,0.0,0,2.2902953200620857e-08,0,7.839556004363146e-09,0,0.0020628323246578706,0,0.004159054778329008
1,0.9281625079686908,1,0.7836412819101775,0,0.4056431003458114,1,0.6737298268110226,1,0.6402303453093874,1,0.5750578184124725,1,0.531942580629231,0,0.1763041929201934,0,0.42853361186881544,0,0.4552334671316036,0,0.2690467652260412,0,0.24445964020145383,0,0.10004169431760812,0,0.33695782488953463,0,0.48062249969704274
0,6.661338147750939e-16,0,0.0,0,1.887379141862766e-15,0,7.526534950841324e-12,0,1.683047596845455e-07,0,0.0,0,0.0,0,1.2101430968414206e-14,0,9.984235660454033e-13,0,2.894133576125668e-07,0,0.0,0,6.961098364399732e-14,0,2.930988785010413e-14,0,5.265052301917095e-07,0,0.0002142435233842832
0,0.0,0,0.0,0,1.2212453270876722e-15,0,0.0,0,5.535683023083493e-12,0,0.0,0,0.0,0,0.0,0,0.0,0,6.018594511658648e-10,0,0.0,0,0.0,0,0.0,0,6.805253360830932e-09,0,0.0007361969451337158
