unique_id,AutoNHITS-median,AutoNBEATS-median,AutoRNN-median,AutoLSTM-median,AutoGRU-median,SeasonalNaive
M1,0.20886416715832315,0.23061430123684676,0.2094627500280459,0.2244733266735408,0.21856325871269341,0.44025512504527736
M10,0.05119083364659685,0.0426659479366992,0.05795251378452379,0.05475525142325662,0.06228599908803841,0.12296415741414464
M100,0.038600270547679706,0.04659865154125679,0.039468045969002476,0.03664815299196037,0.045150021401493566,0.04707188820990483
M1000,0.020636839057017395,0.03199338368472224,0.0016998672028888382,0.001608027309936433,0.001986746993684981,0.012316943220959732
M1001,0.032112307731497466,0.04115760199915713,0.003857455112213049,0.004171811451383596,0.0035616823059507075,0.013155197780262815
M1002,0.024981090573557175,0.05084119735111356,0.0044537748743026665,0.0037192675680007754,0.003973389222331384,0.03737527524516649
M1003,0.02976562800492867,0.039141658297124855,0.0054813346844965714,0.0075926585178268105,0.005941015447923995,0.0094041074101319
M1004,0.0028731885207516437,0.004163067514861517,0.002897144740250948,0.0024106295380318344,0.0033236393400940655,0.0060152561502371865
M1005,0.011667457902449252,0.011324828085762318,0.009051642336856548,0.02378672380112228,0.010394412084295269,0.020080309410324505
M1006,0.007570820343174988,0.00914563482092713,0.001369190064017494,0.001431742605992095,0.0014520477445012154,0.00576477998255644
M1007,0.012331628374787634,0.010720806956895297,0.006230979143177045,0.004958919272492199,0.006209009161057406,0.020198981756898198
M1008,0.01123442804994886,0.0072557210598542055,0.0022322167977976686,0.0023982609008035955,0.0022337836177005526,0.007698449138388352
M1009,0.025573611403334365,0.0354136886245839,0.019055582994484125,0.021629724581078355,0.014855261478272009,0.06345241998916039
M101,0.029545004088306837,0.023352543208069145,0.02628598519127649,0.02495680561608717,0.028743455085421237,0.018706535681612242
M1010,0.032971382684563295,0.03320898055087931,0.01398337631116617,0.016076857870155562,0.01775076139219052,0.026896451362923183
M1011,0.03165353254268564,0.035576728256218625,0.020942392911047342,0.023337000833130284,0.025489074903904656,0.04148683436060386
M1012,0.028212239466502215,0.03500059531653947,0.01325216504217479,0.012865180434853954,0.014070572725415231,0.011223783900112352
M1013,0.01804136235741947,0.03110130631112003,0.015458818958532952,0.012783969430456217,0.012799241435155267,0.026439395844690582
M1014,0.025699352720488764,0.03464278126697764,0.01974124761626969,0.029929194232724107,0.02304475824987655,0.04000550528977561
M1015,0.016319550063357387,0.029648645782997,0.009843177288582519,0.006944142701202781,0.012058915796193346,0.02337676701150263
M1016,0.01657111628574719,0.011726712760768282,0.009571596641546644,0.013591385401178302,0.014763096855291744,0.04542991669985641
M1017,0.01386102927313905,0.0254976192459741,0.01064751981330412,0.012581756268397895,0.013993202642174638,0.033383525753642306
M1018,0.014833325367702868,0.017017781798032837,0.008740559800575058,0.008207841859500327,0.010517352544039881,0.024261100604742427
M1019,0.03475726780852613,0.060298376312700484,0.015802614783881765,0.030021493355534792,0.03322913092078192,0.07274178061590485
M102,0.042802246332568794,0.038479467644856054,0.04243493920258088,0.04037645067783245,0.040357132105416096,0.047731813403519376
M1020,0.03443502642281991,0.08196205721282684,0.018512574663688452,0.02248549470211469,0.02392155648627486,0.06109755895120395
M1021,0.03784664313901184,0.027375812191286947,0.03395601100501556,0.02979682760575192,0.03647329979736194,0.042100994384733366
M1022,0.11881537925706005,0.11547114600902432,0.08032079671247333,0.08906831848616838,0.08502210482944389,0.1673085253660835
M1023,0.020631666279012112,0.02697403571940768,0.003289025894095712,0.004331289597691902,0.0035488315647170376,0.01180126435414349
M1024,0.012818954183902491,0.008357828122341038,0.007629556252063677,0.006316796196984186,0.006881673632184991,0.008130055365936667
M1025,0.02353644913010745,0.03433892547606018,0.0024185735431414826,0.0024753573833217676,0.003110277391636813,0.013707768495615688
M1026,0.03261286138550694,0.07777554923384963,0.005039619091081168,0.008912969061331152,0.008392367940979204,0.04363394921466115
M1027,0.023378365591490664,0.03477187366990786,0.0030722924887140236,0.0035516774194229227,0.0039046649314181284,0.012782889125186964
M1028,0.03166725114350192,0.04043255659218502,0.03103977444739557,0.048977702094843756,0.029482668575489163,0.05296936096354382
M1029,0.054020425915931675,0.0902766642022731,0.044152200410059815,0.034018447504621734,0.03246019278173153,0.07900182534926017
M103,0.038637672130824294,0.042523161418604495,0.040938259495064376,0.041181131568800246,0.04539806565612411,0.09044008758885504
M1030,0.018854641772875363,0.04103016809563597,0.010191864598412056,0.011109605593088255,0.012565511826874686,0.03219030513295451
M1031,0.017966397285356168,0.02139894434355681,0.016040530721295316,0.01716089248060542,0.01463469143851165,0.020213577294665608
M1032,0.027412338980753622,0.054061495724849605,0.010592864629924986,0.010619529894208226,0.01183368009267688,0.03138573623804412
M1033,0.025253312518431204,0.02623861160117835,0.019767149346629587,0.019712475113629526,0.023381964731912525,0.0341771746049965
M1034,0.032455782528341214,0.028534028267894026,0.03524949241339288,0.052176429654604596,0.034153061783584,0.051854396696689446
M1035,0.055011539853691734,0.06957812634749473,0.054495922164901095,0.057534365366151856,0.05652429486974011,0.09306912227985333
M1036,0.015838461501536137,0.012497062428920952,0.011125741196806658,0.013299212922396823,0.014172205849705383,0.016838025108463574
M1037,0.007448756172805802,0.01769354076752538,0.004828512999927102,0.0031880055006678685,0.00599754278627988,0.03031459161445268
M1038,0.022088033723258304,0.00911241696950778,0.00683281844217886,0.0073045713773902425,0.00812774467312572,0.10221247498221799
M1039,0.010412975898476671,0.007934602674140758,0.008211707305272486,0.007343526570851724,0.009362507079524544,0.0383544649587015
M104,0.0633794914973551,0.06988057807451108,0.05550497309865738,0.07180357010552105,0.068901335663846,0.07097714833607954
M1040,0.016242644433930885,0.015878237310494595,0.009534209671396864,0.015669282893767192,0.017318617624497223,0.021112460769550322
M1041,0.029198843997535157,0.007487335821257254,0.003972312940522267,0.002502618731905228,0.0070486686095947845,0.01580906448787057
M1042,0.03618153052826061,0.056933491743557885,0.0048279660512363905,0.0029179988150896392,0.005771728687899669,0.03353691548127462
M1043,0.030686845967325637,0.02725485505380899,0.004264496552934539,0.00459468163719617,0.004913155402619715,0.024600627889081562
M1044,0.057566766207241576,0.045322152027927054,0.030614247550031986,0.033309460556702995,0.037405050895601664,0.04046055686185445
M1045,0.02180452844035712,0.018089028543985492,0.010286989418473825,0.011417226913010642,0.009680444323725,0.013765452640756543
