SeasonalNaive_90,SeasonalNaive_prob_90,AutoMLP_90,AutoMLP_prob_90,AutoNHITS_90,AutoNHITS_prob_90,AutoLSTM_90,AutoLSTM_prob_90,AutoGRU_90,AutoGRU_prob_90,AutoDeepAR_90,AutoDeepAR_prob_90,SeasonalNaive_95,SeasonalNaive_prob_95,AutoMLP_95,AutoMLP_prob_95,AutoNHITS_95,AutoNHITS_prob_95,AutoLSTM_95,AutoLSTM_prob_95,AutoGRU_95,AutoGRU_prob_95,AutoDeepAR_95,AutoDeepAR_prob_95,SeasonalNaive_99,SeasonalNaive_prob_99,AutoMLP_99,AutoMLP_prob_99,AutoNHITS_99,AutoNHITS_prob_99,AutoLSTM_99,AutoLSTM_prob_99,AutoGRU_99,AutoGRU_prob_99,AutoDeepAR_99,AutoDeepAR_prob_99
0,0.3123753804450271,0,0.4914383774582656,0,8.650909627683223e-05,0,0.11859416922082555,0,0.1006763508576719,0,0.0507221212055704,0,0.24126205880902551,0,0.4363935586423533,0,1.9672426790906528e-06,0,0.01614391932334902,0,0.06539866702123343,0,0.011287381994412593,0,0.14910693200360825,0,0.36615554328077016,0,1.3178218516429752e-09,0,5.499210110704311e-05,0,0.03440019754396606,0,0.005193989019077971
0,0.41561658968852766,1,0.5519151369650266,0,0.0011025124191185176,0,0.11457152182134411,0,0.13996475388055374,0,0.06377060228197495,0,0.3349663179695902,0,0.49146657326438536,0,0.00011255808857646432,0,0.0609090231430961,0,0.11360960092866634,0,0.03123421731770759,0,0.22235522851206346,0,0.35128478485147874,0,5.302961236797188e-07,0,0.01969826891770643,0,0.06131681505282971,0,0.06148761086970911
1,0.544509308382193,1,0.5986286563952521,0,0.008727729641863413,0,0.4099721999387932,0,0.17333670777554955,0,0.05740546647183198,0,0.45964841837370163,1,0.5501762221825174,0,0.00158898955446507,0,0.32862388418612665,0,0.10886751857816601,0,0.11372024179534124,0,0.3302067684479377,1,0.5015241441440665,0,1.693294516991184e-05,0,0.25360234769877166,0,0.04651497812333161,0,0.13829633059934632
0,0.3062186694854979,1,0.6106009983407679,0,0.03579175790402611,0,0.36350200929520937,0,0.1987248136622033,0,0.11760178900017759,0,0.2358494505239449,1,0.5564899071036378,0,0.009248486760617292,0,0.3091188579187023,0,0.1254635750679276,0,0.11621007555593843,0,0.14508693698428166,0,0.44882091916081257,0,0.0004833608864029948,0,0.27049943427412937,0,0.06153892370367087,0,0.09715974948942296
1,0.7425468347746254,1,0.5483896958349732,1,0.9999964645333044,1,0.9999999999989414,1,0.6225624560077555,1,0.8327297517062437,0,0.45678518873797413,0,0.44366352724050184,1,0.9981827891716702,1,0.9999998927583932,0,0.4547074425522294,1,0.6356217261970281,0,0.14048876497464868,0,0.3067354012412049,1,0.7851029933033724,1,0.9981865752674988,0,0.2658111355545183,0,0.1725220020627225
1,0.8611192983330342,1,0.5643139385826028,1,0.9993467822407339,1,0.9999999161775578,1,0.5811115775700229,1,0.7327834919060117,1,0.6276397322003162,0,0.4295265328943958,1,0.9773067707634769,1,0.9999816555007754,0,0.4449012477089841,1,0.550028763481764,0,0.25979377940768267,0,0.3042450293280188,1,0.7221390579681328,1,0.994256025654649,0,0.3051199955609546,0,0.3255034800727189
1,0.9519659203313048,1,0.6169970437367915,1,0.9959660951459549,1,0.9934446923906813,1,0.5727012883725501,1,0.7638582625243996,1,0.8171264106988145,1,0.5379937955121046,1,0.9652913730787338,1,0.9644696584263165,0,0.42416728681040616,0,0.3968236229397618,0,0.47403854962456315,0,0.43439223145108163,1,0.7968177161264571,1,0.8616146565685529,0,0.24070734954347928,0,0.06868981836833132
1,0.9647695645019208,1,0.6632690835241494,1,0.9935687155947162,1,0.9956407448524781,1,0.6066773104163408,1,0.6639963476229305,1,0.8529530803896965,1,0.5879714764850748,1,0.9639315696158293,1,0.983351031049168,0,0.4486490834138185,0,0.2716971615647852,1,0.5317195960354104,0,0.47853633970646337,1,0.8180885591637839,1,0.9404054291479533,0,0.2801065961173651,0,0.022534002194267155
0,1.152075324029056e-09,0,0.06751794998167027,0,6.883342562602479e-09,0,0.0,0,0.0005382295185781816,0,6.412197439686906e-10,0,1.610489519521252e-11,0,0.057100586947630316,0,2.831842538242313e-10,0,0.0,0,0.0003218895816348155,0,7.788214517745473e-13,0,2.525757381022231e-13,0,0.03233813129702978,0,3.807398840649512e-12,0,0.0,0,8.808243239621927e-05,0,0.0
0,8.31088243780087e-08,0,0.06710139887006417,0,0.00017000323769122971,0,5.522686752357231e-10,0,0.002777212095928072,0,1.5543122344752192e-13,0,1.8739482188223633e-09,0,0.03852608760299603,0,2.1936398960642478e-05,0,4.711098178233897e-11,0,0.0010685349336659877,0,0.0,0,4.503675210543179e-11,0,0.019519289093445247,0,6.178327666361838e-06,0,2.5801583092288638e-11,0,0.0014109742049265295,0,0.0
0,1.9062529332813938e-12,0,0.136883383255757,0,1.0464854259151224e-05,0,3.903189452791889e-05,0,0.0018076325184384068,0,1.0214648016315664e-09,0,1.4210854715202004e-14,0,0.12441514726381675,0,3.4226585947649824e-06,0,1.0431017817280619e-05,0,0.0007054898824718769,0,3.355760114231998e-12,0,1.1102230246251565e-16,0,0.10154422619280012,0,1.6745382734884018e-06,0,2.221523390133484e-06,0,0.0003593302631568207,0,7.186862216457257e-11
0,3.3306690738754696e-16,0,0.16498131121292992,0,0.001484868584220811,0,3.323151336975805e-05,0,0.0018262391115256849,0,8.656853012212196e-12,0,0.0,0,0.13888000804386946,0,0.00036540405172846846,0,1.0298562921007282e-05,0,0.0009929451542167733,0,6.361577931102147e-14,0,0.0,0,0.1085116343384589,0,0.00013960803488299867,0,4.176645719278227e-06,0,0.0007730345914577219,0,7.284173264565652e-13
0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1,1.0,1,0.9973982830580945,1,1.0,1,1.0,1,0.9997036411845244,1,1.0,1,1.0,1,0.9976195454698704,1,1.0,1,1.0,1,0.9997812891759756,1,1.0,1,1.0,1,0.9968937694293407,1,1.0,1,1.0,1,0.9998191033359402,1,1.0
1,1.0,1,0.9999233439764631,1,1.0,1,0.9999999999999997,1,0.9978457088772255,1,1.0,1,1.0,1,0.9998745743800727,1,1.0,1,0.9999999999999997,1,0.9983634869348308,1,1.0,1,1.0,1,0.9998722052570234,1,1.0,1,0.999999999999985,1,0.9982651586520843,1,1.0
1,1.0,1,0.9969062681543472,1,1.0,1,0.999999998568982,1,0.9974390441978194,1,1.0,1,1.0,1,0.9972993152789807,1,1.0,1,0.9999999965112528,1,0.9977910655626219,1,1.0,1,1.0,1,0.9961811545433936,1,1.0,1,0.99999999756212,1,0.9982302110268714,1,1.0
