AutoMLP_90,AutoMLP_prob_90,AutoNHITS_90,AutoNHITS_prob_90,AutoLSTM_90,AutoLSTM_prob_90,AutoGRU_90,AutoGRU_prob_90,AutoMLP_95,AutoMLP_prob_95,AutoNHITS_95,AutoNHITS_prob_95,AutoLSTM_95,AutoLSTM_prob_95,AutoGRU_95,AutoGRU_prob_95,AutoMLP_99,AutoMLP_prob_99,AutoNHITS_99,AutoNHITS_prob_99,AutoLSTM_99,AutoLSTM_prob_99,AutoGRU_99,AutoGRU_prob_99
0,0.49985584309043785,0,0.22491193968336076,0,0.4139467718416592,0,0.29071255754739167,0,0.4687026655707649,0,0.17702796512833663,0,0.3478420116142551,0,0.2505901815786289,0,0.41975732987460024,0,0.11545171586785108,0,0.2524720338411144,0,0.1935001435985555
1,0.5289774844553159,0,0.24523122189560365,0,0.32051163002908734,0,0.3115228116077138,0,0.49405284679991,0,0.19613316289491944,0,0.278745700729247,0,0.2735263185068808,0,0.43886033013907344,0,0.13163233748044045,0,0.21846720641645923,0,0.2183814189895924
1,0.5667588329562101,0,0.2807145779158813,0,0.4413630988722209,0,0.32462375588887427,1,0.5381021998096571,0,0.229253933518342,0,0.40387319600573224,0,0.2844060841198849,0,0.49230257948986034,0,0.15962357517418568,0,0.34630651167637405,0,0.22596848825545246
1,0.5794668334776567,0,0.30133777021147556,0,0.4124774048326496,0,0.35262192758633293,1,0.5516248688006324,0,0.25017412635498415,0,0.38187773891098376,0,0.30935502970427464,1,0.5069948406116543,0,0.1795134878361403,0,0.3348904930292046,0,0.24600986053988105
1,0.5066918079400622,1,0.5644312451512876,1,0.5875305105805102,1,0.5162626287246865,0,0.487512105058709,1,0.5414487240529702,1,0.5646772035408543,0,0.49524853771013033,0,0.46308295302754754,1,0.5119264856528789,1,0.5352054523762888,0,0.46845748373351004
1,0.5154821965655476,1,0.5612110090965529,1,0.6040124170929161,1,0.5137496129187784,0,0.4956246377342607,1,0.538553373972084,1,0.5818912599057067,0,0.49300342703290656,0,0.4703049226693983,1,0.5094650146680306,1,0.5532889820014034,0,0.4665622974970648
1,0.5289636900591159,1,0.5702206347685738,1,0.601104970323133,1,0.5077667053850768,1,0.510273058596715,1,0.5479786093682535,1,0.5801727799850269,0,0.4871478389631606,0,0.48639294514904685,1,0.5193826873406429,1,0.5531341008882151,0,0.46089140044275156
1,0.5336436729486598,1,0.5736018462430159,1,0.5991078081436334,1,0.5166891849035705,1,0.5151151956210879,1,0.551658709725461,1,0.5779783263360985,0,0.4959590481611772,0,0.4914272051948919,1,0.5234328407972457,1,0.5506916311457792,0,0.4695267659814336
0,0.2515668851836459,0,0.11838027103919135,0,0.028438129341567864,0,0.12362461560859395,0,0.22983246847802175,0,0.09898526448621947,0,0.02188541988722781,0,0.10682637373144288,0,0.211431395031892,0,0.08379389548945992,0,0.01717922272257444,0,0.09333594625394537
0,0.24979269075451538,0,0.16303796831024786,0,0.047630769939794426,0,0.14509367732262612,0,0.22631060083618393,0,0.140562376053178,0,0.038904788230803455,0,0.12768328398501727,0,0.2065300068811221,0,0.12243586891579161,0,0.03228589134900273,0,0.11347597689307487
0,0.3067778660380259,0,0.1180206128107496,0,0.08431821838346698,0,0.14499204602723603,0,0.2840059484839057,0,0.10057340997236919,0,0.07144592883031087,0,0.12700104429218229,0,0.26447087398684044,0,0.08671561845983888,0,0.06132180006705845,0,0.1123679531487316
0,0.3198202375433127,0,0.16825613224088787,0,0.07069322941494427,0,0.15915257415507422,0,0.2970198027986217,0,0.14678572293157965,0,0.060129032181309716,0,0.13945300349303325,0,0.27740227841118115,0,0.12931509532140417,0,0.051815468393005326,0,0.12339540034327623
