AutoMLP_90,AutoMLP_prob_90,AutoNHITS_90,AutoNHITS_prob_90,AutoLSTM_90,AutoLSTM_prob_90,AutoGRU_90,AutoGRU_prob_90,AutoMLP_95,AutoMLP_prob_95,AutoNHITS_95,AutoNHITS_prob_95,AutoLSTM_95,AutoLSTM_prob_95,AutoGRU_95,AutoGRU_prob_95,AutoMLP_99,AutoMLP_prob_99,AutoNHITS_99,AutoNHITS_prob_99,AutoLSTM_99,AutoLSTM_prob_99,AutoGRU_99,AutoGRU_prob_99
1,0.6603671332658267,1,0.6745273057308389,1,0.5785471626090877,1,0.6924506312873115,1,0.5530226619624077,1,0.5609365218091451,0,0.4685976281671558,1,0.5995868003809485,0,0.4951342775469435,0,0.4992054192142926,0,0.4119087599854323,1,0.5486170965869637
0,0.4235609076680129,0,0.3629546644682893,0,0.3118039194559886,0,0.4334276809933313,0,0.30908771640551724,0,0.25109269384470445,0,0.21129157541651356,0,0.3254078570565766,0,0.25553565639390907,0,0.2011577012379524,0,0.16763151299280432,0,0.27404428316318996
0,0.28485004601727537,0,0.31625122371503056,0,0.21684956068463146,0,0.2888994522382773,0,0.18652267605868955,0,0.21346599055207705,0,0.13222470591479007,0,0.19231639566542513,0,0.14499124266424457,0,0.16885753928704372,0,0.09871548534941288,0,0.15107486687579796
0,0.19169068246335197,0,0.21955421563134747,0,0.1721641946950092,0,0.20348002753883332,0,0.11429971781869264,0,0.13647445197339403,0,0.0988322209671717,0,0.12478892908069028,0,0.0843264632125238,0,0.10314502099430245,0,0.07130351207496066,0,0.09364079673172032
0,0.20624482386039245,0,0.14841480387511552,0,0.16111497437787836,0,0.17572616641098815,0,0.12540940417118174,0,0.0843493758972852,0,0.0908647622226798,0,0.10299942834046028,0,0.09356077283327169,0,0.060641758113105904,0,0.06489738838884551,0,0.07528592444410365
0,0.16880702094655786,0,0.21790147472420573,0,0.17917006100240185,0,0.15677387422439448,0,0.09893174073963162,0,0.150619805771388,0,0.1037006703601131,0,0.08930621703937103,0,0.07236441653165093,0,0.12181967589983822,0,0.07515103195608197,0,0.06423324527210628
0,0.16071441035262812,0,0.16582626599661998,0,0.17908294232841038,0,0.13396847673544432,0,0.09220701253609909,0,0.09577163922929732,0,0.10376091056153991,0,0.07272659744200571,0,0.0665926959299803,0,0.06941962605577401,0,0.07524759040598994,0,0.05086895147861592
0,0.19763886447269696,0,0.16496219432689774,0,0.2149932792127507,0,0.17321858565630344,0,0.1189853785591628,0,0.09546394833688432,0,0.13090068420874879,0,0.09922673377783708,0,0.08827584823010448,0,0.06929327424540455,0,0.09765229758552163,0,0.07148038775248156
0,0.26991684771875957,0,0.23480634511752285,0,0.2938145844247664,0,0.2599745673558942,0,0.1749008331524955,0,0.146751006431169,0,0.1916417874467553,0,0.16374605422628408,0,0.13519758805127968,0,0.11114147599111301,0,0.14846757289946877,0,0.12434303531280744
0,0.3185127191653814,0,0.3003666858952365,0,0.33811702082698203,0,0.3048792599080351,0,0.21415953305961244,0,0.19943750628377244,0,0.23001022246572655,0,0.2003157268464011,0,0.1689387647434013,0,0.15625535644512423,0,0.1825667927850565,0,0.15578959948466442
