SeasonalNaive_90,SeasonalNaive_prob_90,AutoMLP_90,AutoMLP_prob_90,AutoNHITS_90,AutoNHITS_prob_90,AutoLSTM_90,AutoLSTM_prob_90,AutoGRU_90,AutoGRU_prob_90,AutoDeepAR_90,AutoDeepAR_prob_90,SeasonalNaive_95,SeasonalNaive_prob_95,AutoMLP_95,AutoMLP_prob_95,AutoNHITS_95,AutoNHITS_prob_95,AutoLSTM_95,AutoLSTM_prob_95,AutoGRU_95,AutoGRU_prob_95,AutoDeepAR_95,AutoDeepAR_prob_95,SeasonalNaive_99,SeasonalNaive_prob_99,AutoMLP_99,AutoMLP_prob_99,AutoNHITS_99,AutoNHITS_prob_99,AutoLSTM_99,AutoLSTM_prob_99,AutoGRU_99,AutoGRU_prob_99,AutoDeepAR_99,AutoDeepAR_prob_99
0,6.661338147750939e-16,0,2.220446049250313e-16,1,0.8951008628621597,0,4.084732552200876e-12,0,0.0,0,0.005982936121242455,0,0.0,0,0.0,1,0.8942262749419554,0,2.55351295663786e-15,0,0.0,0,0.0010230879063769516,0,0.0,0,0.0,1,0.8930636924344154,0,1.1102230246251565e-16,0,0.0,0,0.00020063498090538978
0,0.0,0,0.0,0,0.15806409830779167,0,0.0,0,0.0,0,0.0019499305025945102,0,0.0,0,0.0,0,0.15678620809254773,0,0.0,0,0.0,0,0.0019819633676479986,0,0.0,0,0.0,0,0.13566876918311155,0,0.0,0,0.0,0,0.00039852657667338587
0,2.3294133288942476e-10,0,7.672440460737562e-11,0,0.38103229849869413,0,5.726418450535675e-09,0,7.848166561075232e-13,0,0.04646532618942911,0,3.11972669919669e-14,0,2.55351295663786e-15,0,0.3846539153687458,0,3.77420317221322e-12,0,1.1102230246251565e-16,0,0.032611820723678075,0,0.0,0,0.0,0,0.33685656588191104,0,5.695444116327053e-14,0,0.0,0,0.02511933201411698
1,0.9281625079686908,1,0.5943549748380028,0,0.2664536511669734,0,0.28910015694592794,1,0.6204451171935469,1,0.7934118268701231,1,0.5750578184124725,0,0.24421720023756377,0,0.2816822753347268,0,0.10701237959589216,0,0.33027587283549686,1,0.5515915238803792,0,0.2690467652260412,0,0.0977423073942818,0,0.24894903667328638,0,0.0552022037978237,0,0.22052585965408134,1,0.6013380284320038
0,6.661338147750939e-16,0,0.0,0,0.42906542960612637,0,6.621893033909032e-10,0,0.0,0,0.02812081652601761,0,0.0,0,0.0,0,0.445994024984421,0,1.1358691764939977e-12,0,0.0,0,0.006997274017522703,0,0.0,0,0.0,0,0.4976888842875047,0,7.09432512735475e-14,0,0.0,0,0.009376784354118928
0,0.0,0,0.0,1,0.7660767844994794,0,0.0,0,0.0,0,0.00451041215235759,0,0.0,0,0.0,1,0.773562379703018,0,0.0,0,0.0,0,0.0007592453115985442,0,0.0,0,0.0,1,0.7759342909805598,0,0.0,0,0.0,0,0.0001926767982243227
0,2.3294133288942476e-10,0,4.649992613181553e-10,1,0.8493183073247013,0,4.532182416028263e-07,0,6.797407081648998e-11,0,0.07511329360939711,0,3.11972669919669e-14,0,1.865174681370263e-14,1,0.8501019197692741,0,2.6838159472575285e-09,0,4.773959005888173e-15,0,0.022425978079953723,0,0.0,0,0.0,1,0.8649182053583326,0,3.7573100186705233e-10,0,0.0,0,0.0035104700635355535
1,0.9281625079686908,0,0.4625071085319059,1,0.6034718973486802,0,0.414757401514807,1,0.6367227098022608,1,0.7580605701669361,1,0.5750578184124725,0,0.1761682575358947,1,0.6244906183113317,0,0.24211504472523737,0,0.39418504226903406,1,0.5399573741559462,0,0.2690467652260412,0,0.09546754200625784,1,0.6048433894154985,0,0.1913162501501573,0,0.2847152014196648,1,0.5053525126734952
0,6.661338147750939e-16,0,0.0,0,0.10564887052498084,0,2.130924745658014e-06,0,0.0,0,0.042835787919907053,0,0.0,0,0.0,0,0.10606079929235523,0,6.839932709112873e-08,0,0.0,0,0.012528327430796682,0,0.0,0,0.0,0,0.08744612490396264,0,8.914507465540566e-09,0,0.0,0,0.008490469943031709
0,0.0,0,0.0,1,0.5102051594817343,0,0.0,0,0.0,0,0.01565921966730599,0,0.0,0,0.0,0,0.47324742707825207,0,0.0,0,0.0,0,0.002784872120428661,0,0.0,0,0.0,0,0.49513202476400264,0,0.0,0,0.0,0,0.00015201074546888904
0,2.3294133288942476e-10,0,2.045916169812756e-08,1,0.6396403875972859,0,0.00022437258589669273,0,8.651147176408358e-08,0,0.06957809090850375,0,3.11972669919669e-14,0,2.9192204209493866e-12,1,0.6359258138175032,0,2.5059293307871933e-05,0,7.328704310083367e-11,0,0.04502247601894793,0,0.0,0,4.2521541843143495e-14,1,0.6942278889718483,0,3.5084933744933267e-06,0,1.3747447624723463e-11,0,0.03819302750025999
1,0.9281625079686908,1,0.6069408190439489,0,0.2816168358779233,1,0.5150228781354114,1,0.7295003403751046,1,0.6946742677145505,1,0.5750578184124725,0,0.31589795645742347,0,0.2642827081355299,0,0.35668678617250715,1,0.5082410857105235,1,0.5282281289465831,0,0.2690467652260412,0,0.17248200989295948,0,0.24878932571806534,0,0.22854998862098497,0,0.3571597922515266,1,0.5584113277576274
0,0.0,0,0.0,1,0.9234653381102313,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.9270986844926956,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.9456603131380507,0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.19404511540482638,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.17932861530242106,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.1958862956618791,0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.4839240280127729,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.4667707163785203,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.4903975490292888,0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.30212719182252046,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.27931988064594626,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.26399155581478295,0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.4579962878846646,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.4541773188039093,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.4676358787410948,0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,1,0.8030647145293477,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7958794371704625,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.8052625900619499,0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,1,0.8749470134692693,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.8841721160927047,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.9102917717731919,0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,1,0.657032545794525,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.6767169701211112,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.6533997284585024,0,0.0,0,0.0,0,0.0
