SeasonalNaive_90,SeasonalNaive_prob_90,AutoMLP_90,AutoMLP_prob_90,AutoNHITS_90,AutoNHITS_prob_90,AutoLSTM_90,AutoLSTM_prob_90,AutoGRU_90,AutoGRU_prob_90,SeasonalNaive_95,SeasonalNaive_prob_95,AutoMLP_95,AutoMLP_prob_95,AutoNHITS_95,AutoNHITS_prob_95,AutoLSTM_95,AutoLSTM_prob_95,AutoGRU_95,AutoGRU_prob_95,SeasonalNaive_99,SeasonalNaive_prob_99,AutoMLP_99,AutoMLP_prob_99,AutoNHITS_99,AutoNHITS_prob_99,AutoLSTM_99,AutoLSTM_prob_99,AutoGRU_99,AutoGRU_prob_99
0,0.3123753804450271,0,0.16267066306761457,1,0.6204179472692943,0,0.09399165352932437,0,0.1645799021603096,0,0.24126205880902551,0,0.0693017133584285,1,0.5097973385390773,0,0.02427770065760604,0,0.06002764978003172,0,0.14910693200360825,0,0.032165176016875296,0,0.38623001086150044,0,0.06364329061088203,0,0.02938786831692508
0,0.41561658968852766,0,0.1946229205421406,0,0.49231385975789765,0,0.041235165769982096,0,0.1781437545347847,0,0.3349663179695902,0,0.11283409034465786,0,0.44645098197896005,0,0.011984307896249713,0,0.12408393824733333,0,0.22235522851206346,0,0.06746705299914513,0,0.40408676690257916,0,0.31309943348129243,0,0.1295139447476057
1,0.544509308382193,0,0.17812096192364457,1,0.7048442995358601,0,0.18846730183317328,0,0.2623301441460011,0,0.45964841837370163,0,0.14426191495202678,1,0.5948903159210039,0,0.14990887947211395,0,0.20037391484874512,0,0.3302067684479377,0,0.11739385547021519,1,0.6165387162104021,1,0.5397490798067969,0,0.255295565374994
0,0.3062186694854979,0,0.11873381862904897,1,0.7142515337817996,0,0.17583952326231245,0,0.09594665079305742,0,0.2358494505239449,0,0.053824336975591636,1,0.6798173742406768,0,0.16588211043634027,0,0.06560797371907401,0,0.14508693698428166,0,0.07350831102944522,1,0.651917833767561,1,0.556283256996724,0,0.16702732416420518
1,0.7425468347746254,1,0.999862371149781,1,0.9862787586215919,1,0.9998378802072081,1,0.9999981378392552,0,0.45678518873797413,1,0.9975905462051937,1,0.8747434115593646,1,0.9982041070989839,1,0.99979563228555,0,0.14048876497464868,1,0.7874586119737387,1,0.6414402212497071,1,0.9478247681021363,1,0.8680466125180435
1,0.8611192983330342,1,0.9978643744088955,1,0.9961178304958189,1,0.9946258681467395,1,0.989331400923068,1,0.6276397322003162,1,0.9757737792292748,1,0.9453306653316399,1,0.9876118675942827,1,0.9408595001085541,0,0.25979377940768267,1,0.8112665222724078,1,0.7382399593480239,1,0.9572078106852122,1,0.7888485051749169
1,0.9519659203313048,1,0.9928158691172485,1,0.992066512317615,1,0.9938968682479375,1,0.9759098140901404,1,0.8171264106988145,1,0.9776434321080447,1,0.9434193688186142,1,0.9892360504777942,1,0.900945241583986,0,0.47403854962456315,1,0.8546118195809278,1,0.7455952409264563,1,0.9675518578746666,1,0.8446910381792218
1,0.9647695645019208,1,0.9844116028917119,1,0.9828975836831343,1,0.9911760701995347,1,0.9166157815606848,1,0.8529530803896965,1,0.9576836935369007,1,0.9415440505224194,1,0.9786874857442895,1,0.7880391447267197,1,0.5317195960354104,1,0.8275110806092492,1,0.8315541018280981,1,0.9520631331095089,1,0.8231966272965339
0,1.152075324029056e-09,0,2.4114663399465996e-07,0,1.8514767496924378e-10,0,4.9919142153243e-09,0,5.330651089974214e-05,0,1.610489519521252e-11,0,7.866924778276996e-09,0,2.2213952899363676e-10,0,1.3729462011724536e-11,0,9.659630976988076e-06,0,2.525757381022231e-13,0,1.8859723782682636e-09,0,1.563482676658623e-11,0,7.751981667691865e-08,0,2.5627085073587352e-05
0,8.31088243780087e-08,0,0.00018911206042016016,0,6.536057887140956e-07,0,5.5715537738976195e-09,0,0.0025616194406943293,0,1.8739482188223633e-09,0,6.569229618613726e-05,0,8.104803606023836e-08,0,2.085620565139834e-11,0,0.0011827347597250792,0,4.503675210543179e-11,0,4.4452307881304165e-06,0,8.387636030171564e-08,0,8.175798482668029e-09,0,0.005121614526099494
