AutoMLP_90,AutoMLP_prob_90,AutoNHITS_90,AutoNHITS_prob_90,AutoLSTM_90,AutoLSTM_prob_90,AutoGRU_90,AutoGRU_prob_90,AutoMLP_95,AutoMLP_prob_95,AutoNHITS_95,AutoNHITS_prob_95,AutoLSTM_95,AutoLSTM_prob_95,AutoGRU_95,AutoGRU_prob_95,AutoMLP_99,AutoMLP_prob_99,AutoNHITS_99,AutoNHITS_prob_99,AutoLSTM_99,AutoLSTM_prob_99,AutoGRU_99,AutoGRU_prob_99
1,0.7597463810250441,1,0.7137517526147379,1,0.7166600969771832,1,0.7377381120667151,1,0.6598805684029153,1,0.5979984418542953,1,0.6046834879787888,1,0.6274888559524525,1,0.6024872722829657,1,0.5334524382642213,1,0.5421351278751113,1,0.56497865150277
0,0.44690728314075967,0,0.4138862743911683,0,0.3487401727825159,0,0.41295807012229346,0,0.3261226559440533,0,0.28953434609219086,0,0.2339858381593547,0,0.29100750089239624,0,0.26915828814619003,0,0.23273841632620318,0,0.18383938961738133,0,0.23512115538904
0,0.27255843909131416,0,0.27766268384162984,0,0.21286097723671016,0,0.2610203889655345,0,0.17440051567910397,0,0.17509058117641652,0,0.12546576391041686,0,0.16146421792539956,0,0.1336622058371092,0,0.13282906635951996,0,0.0916496134791408,0,0.12113756667930997
0,0.1680313473253583,0,0.1689316850564746,0,0.15450957292309875,0,0.17293478186983657,0,0.09734640205257339,0,0.09506414243512418,0,0.08446352195229734,0,0.09749092907215506,0,0.07068360299132692,0,0.06773116574580162,0,0.059170210669490575,0,0.06950487929150262
0,0.20965084709991366,0,0.19332149065833248,0,0.15114997398881935,0,0.17322532439008742,0,0.12630459890987966,0,0.11209972649484612,0,0.08177076865787791,0,0.09688105867726304,0,0.09362804443602069,0,0.08119827449035921,0,0.05692465191924867,0,0.06870975670091284
0,0.18815197778051695,0,0.1693100727748008,0,0.13548415154618798,0,0.14606012576706684,0,0.11158217827410288,0,0.09540992780128155,0,0.07142785297843679,0,0.07798905045505333,0,0.08206439228924522,0,0.06803583801524138,0,0.049014338341963004,0,0.05387223021885401
0,0.16788778617348787,0,0.13294316661999483,0,0.12690849124201686,0,0.1329455224268019,0,0.09716597480479061,0,0.07127119997557607,0,0.06602507196919216,0,0.06975928730466363,0,0.07050828854194169,0,0.04945807072755759,0,0.044981587543022394,0,0.04774235909760127
0,0.21692362088886097,0,0.18319653029406413,0,0.16134872386850385,0,0.1719187729854268,0,0.13242149388535995,0,0.10471303848004698,0,0.08867277780991811,0,0.09586410790680311,0,0.09893561531251494,0,0.07523172077991469,0,0.06227453938202998,0,0.06786802085932697
0,0.2987796654153493,0,0.24875088541417867,0,0.25257621975869715,0,0.2610535962736328,0,0.19653721234346377,0,0.15292816212271454,0,0.15525654394591692,0,0.1615527796808871,0,0.15305183914075715,0,0.11441057525461429,0,0.11609427171205144,0,0.12123759350323637
0,0.3563040704205196,0,0.3000441821663019,0,0.2597810471721478,0,0.2890762844599224,0,0.24580227143367828,0,0.1935306523721113,0,0.1613260415286195,0,0.18469035875184225,0,0.19665323359619258,0,0.14873159634111333,0,0.12136421380357909,0,0.141184637924327
